対象のテスト,大項目,中項目,小項目,パターン,userロール,前提条件,手順,期待値,設計備考
TC-UNKNOWN-001,個人ソルバー管理,生年月日不明設定,チェックボックス表示,正常系,apt,"個人ソルバー詳細画面を表示
テスト用ソルバー法人「不明データテスト株式会社」が作成済み
テスト用個人ソルバー「通常太郎」が作成済み","1. FO画面にaptでログイン
2. ヘッダー「ソルバー法人管理」をクリック
3. 「不明データテスト株式会社」をクリック
4. 「個人ソルバー一覧」タブをクリック
5. 「通常太郎」をクリック
6. 「編集」ボタンをクリック
7. 生年月日項目の近くに「生年月日不明」チェックボックスが表示されることを確認","生年月日入力欄の近くに「生年月日不明」チェックボックスが表示される","新人エンジニアでも画面要素を特定できるよう、HTML要素の位置を具体的に記載
v2.5で実装予定の新機能"
TC-UNKNOWN-002,個人ソルバー管理,生年月日不明設定,チェックボックス操作,正常系,apt,"TC-UNKNOWN-001完了後の状態
個人ソルバー編集画面が表示されている","1. 「生年月日不明」チェックボックスにチェックを入れる
2. 生年月日入力欄の状態を確認する
3. 生年月日入力欄への入力を試行する","生年月日入力欄がグレーアウト（無効化）され、入力が無効化される","チェックボックスの状態変化に応じた入力制御の確認
UIの視覚的フィードバックも重要"
TC-UNKNOWN-003,個人ソルバー管理,生年月日不明設定,チェック解除,正常系,apt,"TC-UNKNOWN-002完了後の状態
「生年月日不明」チェックボックスがチェック済み","1. 「生年月日不明」チェックボックスのチェックを外す
2. 生年月日入力欄の状態を確認する
3. 生年月日欄に「1995/03/20」を入力する
4. 「保存」ボタンをクリックする
5. 詳細表示で入力した生年月日が表示されることを確認する","生年月日入力欄が編集可能に戻り、入力した生年月日「1995/03/20」が正しく保存・表示される","双方向のUI制御が正常に動作することの確認
データの保存・読み込みの整合性確認も含む"
TC-UNKNOWN-004,個人ソルバー管理,単価不明表示,人月単価0値表示,正常系,apt,"テスト用個人ソルバー「不明花子」が作成済み
人月単価（上限・下限）が0に設定済み","1. ソルバー一覧画面で「不明花子」をクリック
2. 個人ソルバー詳細画面で人月単価（上限）欄を確認する
3. 人月単価（下限）欄を確認する
4. 単位表示（万円）の状態を確認する","人月単価（上限・下限）欄に「不明」と表示され、単位表示（万円）が非表示になる","0値の場合の特別な表示処理の確認
既存実装機能の動作確認"
TC-UNKNOWN-005,個人ソルバー管理,単価不明表示,時間単価0値表示,正常系,apt,"テスト用個人ソルバー「不明花子」が作成済み
時間単価（上限・下限）が0に設定済み","1. 個人ソルバー詳細画面で時間単価（上限）欄を確認する
2. 時間単価（下限）欄を確認する
3. 単位表示（円）の状態を確認する","時間単価（上限・下限）欄に「不明」と表示され、単位表示（円）が非表示になる","0値の場合の特別な表示処理の確認
既存実装機能の動作確認"
TC-UNKNOWN-006,個人ソルバー管理,単価更新,不明から通常値への変更,正常系,apt,"テスト用個人ソルバー「不明花子」が作成済み
全ての単価が0（不明状態）に設定済み","1. 「不明花子」の詳細画面で「編集」ボタンをクリック
2. 人月単価（上限）に「800000」を入力
3. 人月単価（下限）に「600000」を入力
4. 時間単価（上限）に「5000」を入力
5. 時間単価（下限）に「3000」を入力
6. 「保存」ボタンをクリック
7. 詳細表示で単価が数値表示されることを確認","詳細表示で単価が数値表示され、単位（万円、円）が表示される","0値から通常値への変更処理の確認
表示形式の切り替わりが正常に動作することの確認"
TC-UNKNOWN-007,個人ソルバー管理,単価更新,通常値から不明への変更,正常系,apt,"TC-UNKNOWN-006完了後の状態
単価が通常値に設定済み","1. 編集モードで人月単価（上限・下限）を「0」に変更
2. 時間単価（上限・下限）を「0」に変更
3. 「保存」ボタンをクリック
4. 詳細表示で単価表示を確認する","詳細表示で単価が「不明」表示に戻り、単位が非表示になる","通常値から0値への変更処理の確認
表示形式の切り替わりが正常に動作することの確認"
TC-UNKNOWN-008,個人ソルバー管理,単価一括更新,一括更新画面での0値表示,正常系,apt,"テスト用ソルバー法人「不明データテスト株式会社」が作成済み
「不明花子」の単価が0に設定済み
「通常太郎」の単価が通常値に設定済み","1. ソルバー法人詳細画面で「稼働率・単価一括更新」ボタンをクリック
2. 一括更新画面で「不明花子」の人月単価欄を確認する
3. 「不明花子」の時間単価欄を確認する
4. 「通常太郎」の単価欄と比較する","「不明花子」の単価欄に「0」が表示される（「不明」ではない）
「通常太郎」の単価は数値で表示される","一括更新画面では「不明」表示をしない仕様の確認
既存実装機能の動作確認"
TC-UNKNOWN-009,個人ソルバー管理,単価一括更新,一括更新による単価変更,正常系,apt,"TC-UNKNOWN-008完了後の状態
稼働率・単価一括更新画面が表示されている","1. 「不明花子」の人月単価を「700000-500000」に変更
2. 「保存」ボタンをクリック
3. ソルバー詳細画面に戻る
4. 「不明花子」の詳細画面で変更した単価が数値表示されることを確認","一括更新で変更した単価が詳細画面に正しく反映され、数値表示される","一括更新機能と詳細表示の連携確認
データの整合性確認"
TC-UNKNOWN-010,個人ソルバー管理,権限制御,法人ソルバー担当でのアクセス,正常系,solver_staff,"テスト用ユーザー「test-staff-unknown-001」が作成済み
ロールがsolver_staffに設定済み
所属ソルバー法人ID「test-corporation-unknown-001」が設定済み","1. FO画面にsolver_staffでログイン
2. ソルバー管理画面にアクセス
3. 表示されるソルバー一覧を確認する
4. 他社ソルバーへの直接URLアクセスを試行する","自社（test-corporation-unknown-001）のソルバーのみ表示され、他社ソルバーへのアクセスは403エラーまたはアクセス拒否される","法人ソルバー担当の権限制限の確認
セキュリティ制御の動作確認"
